name,elevation_ft,iso_country,iso_region,continent
Bentley Heliport,80.0,US,US-MA,
Breezecroft Airport,20.0,US,US-MD,
Drisko Airport,70.0,US,US-ME,
Beaumont Hospital Taylor Heliport,621.0,US,US-MI,
Northern Pines Medical Center Heliport,1446.0,US,US-MN,
Portageville Community Heliport,272.0,US,US-MO,
VA Medical Center Jackson Heliport,359.0,US,US-MS,
Jones Landing Airport,4364.0,US,US-MT,
Brunswick Community Hospital Heliport,63.0,US,US-NC,
Mc Kay Airport,2010.0,US,US-NE,
Stumpfield Heliport,200.0,US,US-NH,
Paulus Hook Pier Heliport,7.0,US,US-NJ,
Baker Ranches Airport,5180.0,US,US-NV,
Oswego County At Pulaski Heliport,445.0,US,US-NY,
Drill Field Pad Heliport,415.0,US,US-OR,
Eaglecrest Field,968.0,US,US-OH,
Dorlon Airpark,830.0,US,US-OH,
Hawk Haven Airport,1075.0,US,US-OK,
Peacock Ranch Airport,3500.0,US,US-OR,
PECO Mob. Heliport,110.0,US,US-PA,
State Police Area Iii Heliport,485.0,US,US-PA,
Mills Brothers Airport,1210.0,US,US-PA,
Vernonia Airfield,647.0,US,US-OR,
Brandes Air Field,276.0,US,US-TX,
Hilde-Griff Field,950.0,US,US-TX,
Thurmond Glenn Field,285.0,US,US-TN,
Dew Drop Airport,750.0,US,US-TX,
Circle A Ranch Airport,608.0,US,US-TX,
Oljato Airport,4838.0,US,US-UT,
Blanca Airport,7720.0,US,US-CO,
Providence Airport,445.0,US,US-VA,
Port of Highgate Springs Heliport,68.0,US,US-VT,
Sacred Heart Medical Center Helistop,2220.0,US,US-WA,
Ames Private Airport,958.0,US,US-WI,
Flat Creek Field,1570.0,US,US-WA,
Moore County Hospital District Heliport,3664.0,US,US-TX,
Johnson Memorial Airport,105.0,US,US-AR,
Henning Municipal Airport,1455.0,US,US-MN,
Twisted Sisters Airport,260.0,US,US-AK,
June Lake Airpark,425.0,US,US-AK,
Brown Stagefield Army Heliport,415.0,US,US-AL,
Bondair Airport,499.0,US,US-AR,
Mercy Gilbert Medical Center Heliport,1280.0,US,US-AZ,
Lucky Landing Marina and Seaplane Base,115.0,US,US-ME,
SCE Solar I Heliport,1942.0,US,US-CA,
Abc7-Tv Heliport,520.0,US,US-CA,
Jecan Airport,5100.0,US,US-CO,
William P Gwinn Airport,28.0,US,US-FL,
Grass Roots Airpark,105.0,US,US-FL,
Morton Plant Hospital Heliport,3.0,US,US-FL,
Smith Heliport,1065.0,US,US-GA,
Patoka Reservoir Landing Area Seaplane Base,536.0,US,US-IN,
Rich Field,880.0,US,US-IA,
Larkin Airport,2750.0,US,US-ID,
Humm Airport,708.0,US,US-IL,
Sinele Strip,695.0,US,US-IL,
Riverside Hospital Airlift Heliport,1332.0,US,US-KS,
Falcon Heliport,751.0,US,US-KY,
Panther Helicopters Inc Heliport,,US,US-LA,
Hammersmith Heliport,812.0,US,US-IL,
Tembec Heliport,85.0,US,US-LA,
The Barn Heliport,210.0,US,US-MA,
Johns Hopkins Bayview Hospital Heliport,132.0,US,US-MD,
Barker Heliport,649.0,US,US-ME,
Henry Ford Jackson Hospital Heliport,978.0,US,US-MI,
Noahs Ark Airport,755.0,US,US-MO,
Torgerson Airport,3541.0,US,US-MT,
Randall Airport,523.0,US,US-NY,
Tailwinds Airport,163.0,US,US-NC,
Fitterer's Strip,2180.0,US,US-ND,
St Marys Hospital Heliport,1015.0,US,US-NE,
Cole Farm Airport,160.0,US,US-NH,
Chemical Bank - New Jersey Na Heliport,25.0,US,US-NJ,
Silver Creek Airport,5556.0,US,US-NV,
Murphy Field,1100.0,US,US-NY,
Saint Elizabeth Medical Center Heliport,1020.0,US,US-OH,
Hal Joy Airfield,1160.0,US,US-OH,
Green Acres Airport,915.0,US,US-OH,
Albert Lodge Heliport,900.0,US,US-OK,
Hayden Mountain Airport,850.0,US,US-OR,
Freefall Oz Airport,1440.0,US,US-PA,
Schiavoni Heliport,727.0,US,US-PA,
Cherokee Island Castle Heliport,760.0,US,US-PA,
Grawunder Field,289.0,US,US-TX,
